127.0.0.1 - - [08/Jul/2022:09:21:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:21:54 +0530] "GET /E_CommerceHibernate/ HTTP/1.1" 200 23750
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:21:55 +0530] "GET /E_CommerceHibernate/css/owl.theme.default.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:21:55 +0530] "GET /E_CommerceHibernate/js/owl.carousel.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:21:55 +0530] "GET /E_CommerceHibernate/images/fevicon.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:21:58 +0530] "GET /E_CommerceHibernate/login.jsp HTTP/1.1" 200 10149
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:21:58 +0530] "GET /E_CommerceHibernate/css/owl.theme.default.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:21:58 +0530] "GET /E_CommerceHibernate/js/owl.carousel.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:01 +0530] "GET /E_CommerceHibernate/registration.jsp HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:01 +0530] "GET /E_CommerceHibernate/js/owl.carousel.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:01 +0530] "GET /E_CommerceHibernate/css/owl.theme.default.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:19 +0530] "GET /E_CommerceHibernate/user_reg?cname=Laxman&mobile=7507909417&email=Plaxman942%40gmail.com&pass=Laxman%403456 HTTP/1.1" 500 22445
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:50 +0530] "GET /E_CommerceHibernate/ HTTP/1.1" 200 23750
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:51 +0530] "GET /E_CommerceHibernate/css/owl.theme.default.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:51 +0530] "GET /E_CommerceHibernate/js/owl.carousel.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:53 +0530] "GET /E_CommerceHibernate/login.jsp HTTP/1.1" 200 10149
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:53 +0530] "GET /E_CommerceHibernate/css/owl.theme.default.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:53 +0530] "GET /E_CommerceHibernate/js/owl.carousel.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:56 +0530] "GET /E_CommerceHibernate/registration.jsp HTTP/1.1" 200 10862
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:56 +0530] "GET /E_CommerceHibernate/css/owl.theme.default.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:22:56 +0530] "GET /E_CommerceHibernate/js/owl.carousel.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:23:12 +0530] "GET /E_CommerceHibernate/user_reg?cname=Laxman&mobile=7507909417&email=Plaxman942%40gmail.com&pass=Laxman%40311 HTTP/1.1" 200 10885
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:23:12 +0530] "GET /E_CommerceHibernate/css/owl.theme.default.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:09:23:12 +0530] "GET /E_CommerceHibernate/js/owl.carousel.js HTTP/1.1" 404 797
